Point Départ,KNN,TWO_OPT,Amélioration (%)
L’Isle-d’Abeau,113.35,93.0,17.95
Melun,113.35,93.0,17.95
Grenoble,113.35,93.0,17.95
Décines-Charpieu,113.35,93.0,17.95
Tournefeuille,113.35,93.0,17.95
Petite-Synthe,116.38,95.52,17.92
Riedisheim,116.38,95.52,17.92
Floirac,116.38,95.52,17.92
Courcouronnes,116.38,95.52,17.92
Verrières-le-Buisson,116.38,95.52,17.92
Antony,116.38,95.52,17.92
Octeville,114.84,94.28,17.91
Clermont-Ferrand,114.84,94.28,17.91
Orsay,114.84,94.28,17.91
Versailles,114.84,94.28,17.91
Gentilly,114.84,94.28,17.91
Thonon-les-Bains,114.84,94.28,17.91
Chenôve,114.84,94.28,17.91
Oullins,117.78,96.71,17.89
Carrières-sous-Poissy,116.18,95.39,17.89
Terrenoire,117.78,96.71,17.89
Le Portel,116.18,95.39,17.89
Vesoul,116.18,95.39,17.89
Saint-Égrève,116.18,95.39,17.89
Corbeil-Essonnes,116.18,95.39,17.89
Beauzelle,117.78,96.73,17.87
Montesson,116.31,95.52,17.87
Livry-Gargan,116.31,95.52,17.87
Sète,116.31,95.52,17.87
Marly,116.31,95.52,17.87
Lons-le-Saunier,116.31,95.52,17.87
Dinan,116.31,95.52,17.87
Cran-Gévrier,116.31,95.52,17.87
Persan,115.92,95.31,17.79
Fontaines-sur-Saône,115.92,95.31,17.79
Nogent-sur-Oise,115.92,95.31,17.79
Saint-Maurice,115.92,95.31,17.79
Bezons,115.92,95.31,17.79
Sèvres,118.35,97.39,17.71
Chevilly-Larue,114.62,94.38,17.66
La Salvetat-Saint-Gilles,114.62,94.38,17.66
Cherbourg,114.62,94.38,17.66
Alençon,114.62,94.38,17.66
Rillieux-la-Pape,114.62,94.38,17.66
Mareil-Marly,114.62,94.38,17.66
Orléans,114.47,94.38,17.55
Vélizy-Villacoublay,112.86,93.05,17.55
Maromme,112.86,93.05,17.55
Saint-Herblain,112.86,93.05,17.55
Valras-Plage,114.47,94.38,17.55
Épinay-sur-Seine,112.86,93.05,17.55
Calais,114.47,94.38,17.55
Saint-Quentin,114.47,94.38,17.55
Bondy,112.86,93.05,17.55
Chanteloup-les-Vignes,112.86,93.05,17.55
Roanne,114.47,94.38,17.55
Jarville-la-Malgrange,112.86,93.05,17.55
La Celle-Saint-Cloud,112.86,93.05,17.55
Rosendaël,112.86,93.05,17.55
Bègles,112.86,93.05,17.55
Champagne-au-Mont-d’Or,114.4,94.38,17.5
Saint-Martin-d’Hères,114.4,94.38,17.5
Ivry-sur-Seine,114.4,94.38,17.5
Saint-André-de-la-Roche,114.4,94.38,17.5
Sathonay-Camp,114.4,94.38,17.5
Vitry-sur-Seine,114.4,94.38,17.5
Saint-Michel-sur-Orge,114.4,94.38,17.5
Fosses,113.28,93.75,17.24
Conflans-Sainte-Honorine,113.28,93.75,17.24
Vauréal,113.28,93.75,17.24
Chatou,113.28,93.75,17.24
Carnoux-en-Provence,113.28,93.75,17.24
Saint-Pol-sur-Mer,113.28,93.75,17.24
Longeville-lès-Metz,113.28,93.75,17.24
Quincy-sous-Sénart,116.41,96.57,17.04
Charleville-Mézières,116.41,96.57,17.04
Le Crès,116.41,96.57,17.04
Valence,116.41,96.57,17.04
Périgueux,116.41,96.57,17.04
Lucé,116.41,96.57,17.04
Cognin,112.63,93.47,17.01
Saint-Alban,112.63,93.47,17.01
Montluçon,112.63,93.47,17.01
Saint-André,112.63,93.47,17.01
La Verrière,112.63,93.47,17.01
Brétigny-sur-Orge,112.63,93.47,17.01
Ris-Orangis,112.63,93.47,17.01
Flers-lez-Lille,112.63,93.47,17.01
Le Blanc-Mesnil,112.63,93.47,17.01
La Rochelle,112.63,93.47,17.01
Noisy-le-Sec,112.63,93.47,17.01
Haubourdin,112.63,93.47,17.01
Garches,112.63,93.47,17.01
Dammarie-lè-Lys,112.63,93.47,17.01
Nantes,112.63,93.47,17.01
Morangis,112.63,93.47,17.01
Bois-Guillaume,112.63,93.47,17.01
Saint-Brice-sous-Forêt,113.47,94.29,16.9
Mons-en-Baroeul,113.47,94.29,16.9
Carrières-sur-Seine,113.47,94.29,16.9
Mulhouse,113.47,94.29,16.9
Arcueil,113.47,94.29,16.9
Villemoisson-sur-Orge,112.82,93.77,16.88
Antibes,112.82,93.77,16.88
Noisiel,112.82,93.77,16.88
Saint-Nicolas,112.82,93.77,16.88
Orly,112.82,93.77,16.88
Arnouville-lès-Gonesse,112.82,93.77,16.88
Craponne,112.82,93.77,16.88
Caen,112.82,93.77,16.88
Saint-Max,112.82,93.77,16.88
La Bassée,112.82,93.77,16.88
Eaubonne,112.82,93.77,16.88
Saint-Jean-de-Braye,112.69,93.75,16.8
Cagnes-sur-Mer,112.69,93.75,16.8
Hœnheim,112.69,93.75,16.8
Le Plessis-Trévise,112.69,93.75,16.8
Anzin,112.22,93.45,16.73
Le Plessis-Bouchard,112.22,93.45,16.73
Reims,112.22,93.45,16.73
Éragny,112.22,93.45,16.73
Maisons-Alfort,112.22,93.45,16.73
Évreux,112.22,93.45,16.73
Nanterre,112.22,93.45,16.73
Roubaix,112.22,93.45,16.73
Romainville,112.22,93.45,16.73
Pont-de-Chéruy,112.83,93.99,16.69
Fleury-Mérogis,112.83,93.99,16.69
Alfortville,112.83,93.99,16.69
Oberhausbergen,112.83,93.99,16.69
Mérignac,112.83,93.99,16.69
La Penne-sur-Huveaune,112.83,93.99,16.69
Neuilly-Plaisance,112.83,93.99,16.69
Mantes-la-Ville,112.83,93.99,16.69
Neuves-Maisons,112.83,93.99,16.69
Paimbœuf,112.83,93.99,16.69
Montfermeil,112.83,93.99,16.69
Palavas-les-Flots,112.83,93.99,16.69
Fouquières-lès-Lens,112.83,93.99,16.69
Saint-Ouen,112.83,93.99,16.69
Croix,112.83,93.99,16.69
Stains,112.73,93.99,16.62
Lambersart,112.73,93.99,16.62
Fresnes,112.73,93.99,16.62
Billy-Montigny,112.73,93.99,16.62
Harfleur,112.73,93.99,16.62
Ormesson-sur-Marne,112.73,93.99,16.62
Serris,112.73,93.99,16.62
Le Bouscat,112.73,93.99,16.62
Le Cannet,112.73,93.99,16.62
Wattrelos,112.73,93.99,16.62
Ostwald,112.73,93.99,16.62
Castanet-Tolosan,112.73,93.99,16.62
Saint-Germain-lès-Corbeil,112.73,93.99,16.62
Blagnac,112.73,93.99,16.62
Marly-le-Roi,112.87,94.17,16.57
Valenton,112.87,94.17,16.57
Eybens,112.87,94.17,16.57
Talence,112.87,94.17,16.57
Rodez,112.87,94.17,16.57
Bourg-la-Reine,116.41,97.29,16.43
Gournay-sur-Marne,116.41,97.29,16.43
Soissons,116.41,97.29,16.43
Roissy-en-Brie,116.41,97.29,16.43
Savigny-le-Temple,116.41,97.29,16.43
Meyzieu,112.86,94.43,16.33
Andrésy,112.86,94.43,16.33
Aulnay-sous-Bois,112.86,94.43,16.33
Denain,111.47,93.43,16.18
Beuvrages,111.47,93.43,16.18
Villers-lès-Nancy,111.47,93.43,16.18
Les Clayes-sous-Bois,111.47,93.43,16.18
Charenton-le-Pont,111.47,93.43,16.18
Aix-en-Provence,111.47,93.43,16.18
Meaux,111.47,93.43,16.18
Colomiers,116.88,98.06,16.1
Mantes-la-Jolie,116.88,98.06,16.1
Arcachon,116.88,98.06,16.1
Lomme,112.7,94.63,16.03
Agen,112.7,94.63,16.03
Villeneuve-Tolosane,112.7,94.63,16.03
Beausoleil,112.7,94.63,16.03
Cluses,112.7,94.63,16.03
Saint-Mandé,112.7,94.63,16.03
Méricourt,112.45,94.49,15.97
Soisy-sous-Montmorency,112.45,94.49,15.97
Villepinte,112.45,94.49,15.97
Guyancourt,112.45,94.49,15.97
Villerupt,112.45,94.49,15.97
Cormeilles-en-Parisis,112.45,94.49,15.97
Draveil,112.45,94.49,15.97
Drancy,116.91,98.26,15.96
